canonical_key,artist,track,old_watch_url,old_video_id,new_watch_url,new_video_id,status,resolver_reason
sp:0J0zz9v1hRXQXQ2rJLgKq1,Liberación,Ese Loco Soy Yo,https://www.youtube.com/watch?v=Zf5WPpyaPWo,Zf5WPpyaPWo,https://www.youtube.com/watch?v=Zf5WPpyaPWo,Zf5WPpyaPWo,kept_direct_playable,
sp:3Qpk2qHree1RTH5lZaKnEK,Vishal Dadlani,Desi Girl,https://www.youtube.com/watch?v=wDIrpvH8MzE,wDIrpvH8MzE,https://www.youtube.com/watch?v=QsM_xOn3kvc,QsM_xOn3kvc,unplayable_replaced_by_resolver,reranked resolver candidate: Desi Girl (BellyHop Mix) | Vishal Dadlani - Topic
sp:3ZpWy5rBZv2aLQAldnmTsP,Metallica,Whiskey In The Jar,https://www.youtube.com/watch?v=wsrvmNtWU4E,wsrvmNtWU4E,https://www.youtube.com/watch?v=9MNdOCQYOL8,9MNdOCQYOL8,unplayable_replaced_by_resolver,"reranked resolver candidate: Metallica: Whiskey in the Jar (Slane Castle - Meath, Ireland - June 8, 2019) | Metallica"
sp:6h7AmUi3ghBeEfsZygAxOd,MARINA,Venus Fly Trap,https://www.youtube.com/watch?v=F1JTlnHGa90,F1JTlnHGa90,https://www.youtube.com/watch?v=F1JTlnHGa90,F1JTlnHGa90,unplayable_resolver_returned_unplayable,"cache hit: MARINA - Venus Fly Trap (Official Music Video) | MARINA | views=8,513,733"
sp:7dzUZec5MnWMyQnk5klnKR,MIKA,Grace Kelly,https://www.youtube.com/watch?v=0CGVgAYJyjk,0CGVgAYJyjk,https://www.youtube.com/watch?v=0CGVgAYJyjk,0CGVgAYJyjk,kept_direct_playable,
sp:5OMUXgfXsSukZ0zxelpC3b,Dhanush,Raanjhanaa,https://www.youtube.com/watch?v=vgm1u2gPxzw,vgm1u2gPxzw,https://www.youtube.com/watch?v=vgm1u2gPxzw,vgm1u2gPxzw,unplayable_resolver_returned_unplayable,"cache hit: Raanjhanaa - Title Track | Dhanush, Sonam Kapoor | A. R. Rahman | Jaswinder S & Shiraz Uppal | Sony Music India | views=149,931,587"
sp:4tfawx7oL39IUS0GyOlmcP,Alejandro Fernández,Como Quien Pierde una Estrella,https://www.youtube.com/watch?v=MXlwuZ_nEk0,MXlwuZ_nEk0,https://www.youtube.com/watch?v=MXlwuZ_nEk0,MXlwuZ_nEk0,kept_direct_playable,
sp:4WkEH0PgystZUaN6QU6Z0B,Manuel Turizo,Maldita Foto,https://www.youtube.com/watch?v=etuKNHoDW9c,etuKNHoDW9c,https://www.youtube.com/watch?v=etuKNHoDW9c,etuKNHoDW9c,kept_direct_playable,
sp:2ZqFfDwNjKvPu3USx3onhO,Juanes,Volverte A Ver,https://www.youtube.com/watch?v=ihE74nG8ioc,ihE74nG8ioc,https://www.youtube.com/watch?v=ihE74nG8ioc,ihE74nG8ioc,unplayable_resolver_returned_unplayable,reranked resolver candidate: Juanes - Volverte A Ver | Juanes
sp:73ucpKq91TuejrLHgzDNHK,Rita Ora,Poison,https://www.youtube.com/watch?v=Q1fGOG3XXIQ,Q1fGOG3XXIQ,https://www.youtube.com/watch?v=Q1fGOG3XXIQ,Q1fGOG3XXIQ,kept_direct_playable,
sp:0RsI4r9abN1pSFJro36Hon,Lomepal,Yeux disent,https://www.youtube.com/watch?v=FmUDe7P0fzg,FmUDe7P0fzg,https://www.youtube.com/watch?v=FmUDe7P0fzg,FmUDe7P0fzg,unplayable_resolver_returned_unplayable,"cache hit: Lomepal -  Yeux disent (Clip officiel) | Lomepal | views=108,552,080"
